Overall rank,Gender rank,Bib number,First name,Last name,Gender,Age,State code,Country code,Start Offset,Kamm Traverse In,Kamm Traverse Out,Chapman In,Chapman Out,Telluride In,Telluride Out,Kroger In,Kroger Out,Governor In,Governor Out,Ouray In,Ouray Out,Engineer In,Engineer Out,Grouse In,Grouse Out,Sherman In,Sherman Out,Pole Creek In,Pole Creek Out,Maggie In,Maggie Out,Cunningham In,Cunningham Out,Finish
1,1,144,Karl,Meltzer,male,34,UT,US,00:00:00,02:51:00,02:51:00,04:37:00,04:38:00,06:54:00,06:55:00,08:42:00,08:43:00,09:13:00,09:13:00,10:14:00,10:17:00,12:31:00,12:32:00,14:07:00,14:12:00,18:14:00,18:17:00,21:00:00,21:01:00,22:18:00,22:20:00,24:15:00,24:19:00,26:39:35
2,2,154,Hans,Put,male,41,NY,US,00:00:00,02:52:00,02:52:00,04:44:00,04:46:00,07:05:00,07:10:00,08:56:00,08:59:00,09:31:00,09:33:00,10:37:00,10:43:00,12:50:00,12:52:00,14:25:00,14:35:00,19:05:00,19:17:00,22:26:00,22:33:00,23:55:00,23:59:00,25:53:00,25:58:00,28:42:00
3,1,8,Betsy,Kalmeyer,female,40,CO,US,00:00:00,02:56:00,02:56:00,05:03:00,05:06:00,07:38:00,07:49:00,09:50:00,09:50:00,10:30:00,10:31:00,11:35:00,11:49:00,14:19:00,14:23:00,16:12:00,16:19:00,21:07:00,21:16:00,24:06:00,24:10:00,25:30:00,25:33:00,27:22:00,27:26:00,29:58:00
4,3,3,Jan,Fiala,male,48,NM,US,00:00:00,02:51:00,02:51:00,04:40:00,04:42:00,07:07:00,07:14:00,09:15:00,09:18:00,09:50:00,09:51:00,10:55:00,10:56:00,13:26:00,13:27:00,15:16:00,15:30:00,20:58:00,21:17:00,24:21:00,24:24:00,25:37:00,25:39:00,27:35:00,27:36:00,30:05:02
5,4,4,Jonathan,Worswick,male,38,,,00:00:00,02:54:00,02:54:00,04:50:00,04:52:00,07:09:00,07:10:00,09:14:00,09:15:00,09:45:00,09:51:00,10:52:00,11:01:00,13:28:00,13:36:00,15:36:00,15:51:00,21:01:00,21:15:00,24:14:00,24:19:00,25:39:00,25:45:00,27:37:00,27:42:00,30:12:40
6,5,2,Scott,Gordon,male,40,NM,US,00:00:00,02:51:00,02:51:00,04:47:00,04:47:00,07:15:00,07:19:00,09:18:00,09:19:00,09:52:00,09:54:00,11:00:00,11:02:00,13:30:00,13:35:00,15:30:00,15:39:00,21:01:00,21:08:00,24:14:00,24:16:00,25:35:00,25:37:00,27:30:00,27:33:00,30:27:45
7,2,182,Ruth,Zollinger,female,36,UT,US,00:00:00,02:55:00,02:55:00,04:47:00,04:48:00,07:17:00,07:22:00,09:24:00,09:25:00,10:02:00,10:03:00,11:09:00,11:17:00,13:52:00,13:54:00,15:41:00,15:50:00,21:04:00,21:19:00,24:24:00,24:25:00,25:46:00,25:52:00,28:01:00,28:02:00,30:40:38
8,6,1,Kirk,Apt,male,39,CO,US,00:00:00,02:52:00,02:52:00,04:50:00,04:54:00,07:18:00,07:21:00,09:20:00,09:22:00,09:59:00,10:00:00,11:09:00,11:10:00,13:35:00,13:41:00,15:22:00,15:25:00,20:48:00,21:07:00,24:12:00,24:19:00,25:47:00,25:57:00,28:09:00,28:19:00,31:40:00
9,7,126,Tom,Hayes,male,51,MT,US,00:00:00,03:04:00,03:07:00,05:09:00,05:16:00,07:48:00,07:55:00,09:56:00,09:58:00,10:44:00,10:47:00,12:02:00,12:13:00,14:35:00,14:36:00,16:27:00,16:37:00,21:48:00,22:01:00,25:11:00,25:20:00,26:32:00,26:39:00,28:52:00,28:56:00,31:59:50
10,8,12,Tyler,Curiel,male,45,TX,US,00:00:00,02:56:00,02:56:00,05:04:00,05:06:00,07:42:00,07:48:00,10:12:00,10:15:00,10:54:00,10:56:00,12:07:00,12:21:00,14:51:00,14:58:00,16:47:00,17:10:00,22:12:00,22:50:00,25:56:00,26:15:00,27:35:00,27:40:00,29:39:00,29:43:00,32:41:50
