Overall rank,Gender rank,Bib number,First name,Last name,Gender,Age,State code,Country code,Start Offset,Cunningham In,Cunningham Out,Maggie In,Maggie Out,Pole Creek In,Pole Creek Out,Sherman In,Sherman Out,Grouse In,Grouse Out,Engineer In,Engineer Out,Ouray In,Ouray Out,Governor In,Governor Out,Kroger In,Kroger Out,Telluride In,Telluride Out,Chapman In,Chapman Out,Kamm Traverse In,Kamm Traverse Out,Putnam In,Putnam Out,Finish
1,1,1,Karl,Meltzer,male,36,UT,US,00:00:00,02:13:00,02:13:00,04:00:00,04:00:00,04:56:00,04:56:00,06:47:00,06:48:00,10:46:00,10:51:00,12:49:00,12:49:00,14:08:00,14:12:00,16:13:00,16:19:00,17:39:00,17:44:00,18:47:00,18:57:00,22:41:00,22:48:00,25:14:00,25:15:00,26:52:00,26:52:00,28:01:55
2,2,125,Mark,Hartell,male,39,,GB,00:00:00,02:14:00,02:14:00,04:03:00,04:03:00,05:02:00,05:03:00,06:57:00,06:59:00,10:36:00,10:38:00,12:23:00,12:24:00,13:45:00,13:47:00,15:43:00,15:46:00,16:58:00,17:00:00,18:01:00,18:06:00,21:42:00,21:44:00,24:54:00,24:55:00,27:21:00,27:22:00,28:49:10
3,3,170,Leland,Barker,male,46,UT,US,00:00:00,02:14:00,02:16:00,04:06:00,04:07:00,05:05:00,05:06:00,07:02:00,07:04:00,11:32:00,11:37:00,13:30:00,13:32:00,15:00:00,15:05:00,17:14:00,17:16:00,18:36:00,18:40:00,19:39:00,19:43:00,23:03:00,23:06:00,26:06:00,26:09:00,28:19:00,28:20:00,29:43:06
4,4,101,Curtis,Anderson,male,40,CO,US,00:00:00,02:14:00,02:16:00,04:06:00,04:07:00,05:07:00,05:08:00,07:11:00,07:12:00,11:33:00,11:36:00,13:41:00,13:42:00,15:16:00,15:26:00,17:25:00,17:26:00,18:42:00,18:45:00,19:59:00,20:02:00,23:39:00,23:42:00,26:20:00,26:21:00,28:34:00,28:35:00,30:37:21
5,5,7,Kirk,Apt,male,41,CO,US,00:00:00,02:21:00,02:21:00,04:12:00,04:15:00,05:13:00,05:14:00,07:17:00,07:22:00,11:33:00,11:35:00,13:30:00,13:33:00,15:09:00,15:12:00,17:27:00,17:36:00,19:12:00,19:15:00,20:41:00,20:51:00,24:29:00,24:38:00,27:33:00,27:37:00,30:06:00,30:10:00,31:36:37
6,6,3,Jan,Fiala,male,50,NM,US,00:00:00,02:14:00,02:15:00,04:12:00,04:15:00,05:18:00,05:19:00,07:24:00,07:27:00,11:39:00,11:43:00,13:45:00,13:47:00,15:19:00,15:21:00,17:59:00,"",19:49:00,19:52:00,21:17:00,21:24:00,25:44:00,25:49:00,28:41:00,28:46:00,31:07:00,31:08:00,32:45:55
7,7,8,Tom,Hayes,male,53,MT,US,00:00:00,02:28:00,02:28:00,04:34:00,04:35:00,05:47:00,05:47:00,07:57:00,07:59:00,12:42:00,12:45:00,14:44:00,14:44:00,16:38:00,16:45:00,18:50:00,18:55:00,20:28:00,20:31:00,22:09:00,22:15:00,25:51:00,25:57:00,28:50:00,28:53:00,31:27:00,31:29:00,32:55:00
8,1,12,Betsy,Nye,female,39,CA,US,00:00:00,02:20:00,02:25:00,04:21:00,04:22:00,05:24:00,05:24:00,07:30:00,07:32:00,11:41:00,11:48:00,13:47:00,13:49:00,15:18:00,15:33:00,17:49:00,17:50:00,19:30:00,19:33:00,20:53:00,21:02:00,25:43:00,25:52:00,28:58:00,29:00:00,31:31:00,31:32:00,33:02:28
9,8,152,Joseph,Schults,male,43,CO,US,00:00:00,02:24:00,02:24:00,04:22:00,04:23:00,05:26:00,05:28:00,07:32:00,07:36:00,11:55:00,12:04:00,14:11:00,14:12:00,16:36:00,17:10:00,19:21:00,19:27:00,21:03:00,21:09:00,22:44:00,23:04:00,26:47:00,26:54:00,29:41:00,29:46:00,32:07:00,32:09:00,33:33:57
10,9,106,Alfred,Bogenhuber,male,64,CA,US,00:00:00,02:27:00,02:28:00,04:33:00,04:34:00,05:42:00,05:43:00,07:53:00,07:54:00,12:31:00,12:38:00,14:41:00,14:46:00,16:40:00,16:46:00,19:08:00,19:13:00,20:44:00,20:49:00,22:07:00,22:16:00,26:21:00,26:27:00,29:33:00,29:36:00,32:15:00,32:18:00,33:51:00
