Overall rank,Gender rank,Bib number,First name,Last name,Gender,Age,State code,Country code,Start Offset,Kamm Traverse In,Kamm Traverse Out,Chapman In,Chapman Out,Telluride In,Telluride Out,Kroger In,Kroger Out,Governor In,Governor Out,Ouray In,Ouray Out,Engineer In,Engineer Out,Grouse In,Grouse Out,Burrows In,Burrows Out,Sherman In,Sherman Out,Pole Creek In,Pole Creek Out,Maggie In,Maggie Out,Cunningham In,Cunningham Out,Finish
1,1,146,Kilian,Jornet,male,27,,ES,00:00:00,02:17:00,02:19:00,03:45:00,03:45:00,05:43:00,05:44:00,07:12:00,07:15:00,07:43:00,07:44:00,08:43:00,08:45:00,10:48:00,10:50:00,12:13:00,12:19:00,14:46:00,14:50:00,15:25:00,15:33:00,17:42:00,17:53:00,18:49:00,19:00:00,20:33:00,20:38:00,22:41:33
2,2,114,Julien,Chorier,male,34,,FR,00:00:00,02:17:00,02:19:00,03:45:00,03:45:00,05:46:00,05:46:00,07:23:00,07:23:00,07:49:00,07:49:00,08:47:00,08:48:00,10:54:00,10:55:00,12:13:00,12:17:00,15:04:00,15:06:00,15:46:00,15:50:00,18:35:00,18:40:00,19:58:00,20:03:00,22:11:00,22:13:00,25:07:53
3,3,113,Adam,Campbell,male,35,,CA,00:00:00,02:18:00,02:20:00,03:50:00,03:51:00,06:03:00,06:04:00,07:42:00,07:43:00,08:10:00,08:10:00,09:11:00,09:12:00,11:29:00,11:30:00,12:54:00,12:55:00,16:03:00,16:05:00,16:50:00,16:52:00,19:27:00,19:30:00,20:49:00,20:50:00,23:27:00,23:29:00,25:56:46
4,4,109,Jeff,Browning,male,43,OR,US,00:00:00,02:29:00,02:30:00,04:01:00,04:02:00,06:15:00,06:16:00,08:04:00,08:06:00,08:40:00,08:43:00,09:50:00,09:53:00,12:09:00,12:12:00,13:42:00,13:45:00,17:02:00,17:04:00,17:48:00,17:57:00,20:46:00,20:49:00,22:13:00,22:18:00,24:23:00,24:25:00,26:58:53
5,5,2,Scott,Jaime,male,45,CO,US,00:00:00,02:23:00,02:23:00,03:55:00,03:56:00,06:01:00,06:02:00,07:39:00,07:42:00,08:12:00,08:12:00,09:13:00,09:17:00,12:18:00,12:23:00,14:00:00,14:10:00,18:03:00,18:07:00,19:00:00,19:13:00,22:13:00,22:16:00,23:34:00,23:35:00,25:27:00,25:28:00,27:46:10
6,6,148,Tsuyoshi,Kaburaki,male,46,,JP,00:00:00,02:32:00,02:33:00,04:07:00,04:09:00,06:24:00,06:26:00,08:04:00,08:06:00,08:39:00,08:39:00,09:50:00,09:52:00,12:06:00,12:09:00,13:38:00,13:43:00,17:12:00,17:15:00,18:08:00,18:17:00,21:17:00,21:26:00,22:49:00,22:56:00,25:21:00,25:27:00,28:07:38
7,7,4,Jared,Campbell,male,35,UT,US,00:00:00,02:39:00,02:40:00,04:26:00,04:28:00,06:59:00,07:03:00,08:55:00,08:56:00,09:28:00,09:30:00,10:43:00,10:46:00,13:15:00,13:18:00,14:56:00,15:06:00,18:13:00,18:16:00,19:05:00,19:15:00,22:14:00,22:16:00,23:38:00,23:42:00,25:43:00,25:46:00,28:23:42
8,8,147,Mick,Jurynec,male,37,UT,US,00:00:00,02:43:00,02:44:00,04:25:00,04:27:00,06:53:00,06:56:00,08:57:00,08:58:00,09:30:00,09:32:00,10:43:00,10:50:00,13:30:00,13:31:00,15:10:00,15:15:00,18:32:00,18:33:00,19:15:00,19:24:00,22:30:00,22:31:00,23:50:00,23:53:00,26:04:00,26:04:00,28:28:54
9,9,122,Ty,Draney,male,40,WY,US,00:00:00,02:35:00,02:36:00,04:14:00,04:17:00,06:42:00,06:44:00,08:51:00,08:54:00,09:28:00,09:29:00,10:40:00,10:42:00,13:15:00,13:18:00,14:53:00,15:01:00,18:09:00,18:15:00,19:06:00,19:15:00,22:17:00,22:25:00,23:48:00,23:50:00,26:05:00,26:12:00,28:46:04
10,10,3,Ted,Mahon,male,42,CO,US,00:00:00,02:44:00,02:44:00,04:30:00,04:33:00,07:00:00,07:01:00,08:55:00,08:56:00,09:28:00,09:29:00,10:41:00,10:44:00,13:13:00,13:16:00,14:56:00,15:07:00,18:27:00,18:30:00,19:14:00,19:35:00,22:46:00,22:50:00,24:21:00,24:23:00,26:33:00,26:36:00,29:23:42
11,1,5,Darcy,Africa,female,39,CO,US,00:00:00,02:35:00,02:35:00,04:14:00,04:16:00,06:34:00,06:34:00,08:21:00,08:22:00,08:54:00,08:55:00,10:08:00,10:08:00,12:48:00,12:50:00,14:38:00,14:48:00,18:30:00,18:33:00,19:26:00,19:54:00,23:12:00,23:18:00,24:46:00,24:48:00,26:58:00,26:59:00,29:49:58
12,11,112,John,Burton,male,41,CA,US,00:00:00,02:55:00,02:58:00,04:52:00,04:55:00,07:30:00,07:36:00,09:34:00,09:37:00,10:14:00,10:16:00,11:27:00,11:29:00,13:54:00,13:56:00,15:33:00,15:41:00,19:10:00,19:13:00,20:05:00,20:15:00,23:32:00,23:34:00,24:57:00,25:01:00,27:34:00,27:37:00,30:03:47
13,12,165,Timothy,Olson,male,31,OR,US,00:00:00,02:19:00,02:20:00,03:45:00,03:54:00,05:48:00,05:50:00,07:29:00,07:43:00,08:14:00,08:15:00,09:32:00,09:38:00,13:58:00,14:15:00,15:44:00,16:24:00,19:26:00,19:30:00,20:20:00,20:47:00,23:53:00,24:08:00,25:35:00,25:41:00,27:47:00,27:48:00,30:18:43
14,13,152,Kelly,Lance,male,47,ID,US,00:00:00,03:14:00,03:17:00,05:12:00,05:22:00,08:00:00,08:07:00,10:22:00,10:24:00,11:05:00,11:06:00,12:30:00,12:46:00,15:32:00,15:55:00,17:39:00,17:54:00,21:32:00,21:32:00,22:22:00,22:34:00,25:24:00,25:43:00,26:57:00,27:06:00,29:23:00,29:23:00,32:05:04
15,14,128,Shigeru,Furuta,male,44,,JP,00:00:00,03:00:00,03:03:00,04:49:00,04:53:00,07:29:00,07:37:00,09:40:00,09:44:00,10:21:00,10:23:00,12:27:00,12:36:00,14:47:00,14:51:00,16:53:00,17:06:00,20:47:00,20:55:00,22:01:00,22:14:00,25:24:00,25:41:00,27:02:00,27:09:00,29:30:00,29:42:00,32:27:51
16,15,161,Jeason,Murphy,male,35,CO,US,00:00:00,02:43:00,02:44:00,04:31:00,04:32:00,07:04:00,07:10:00,09:05:00,09:07:00,09:44:00,09:49:00,11:01:00,11:09:00,13:45:00,13:52:00,15:41:00,17:06:00,20:37:00,20:46:00,21:35:00,21:56:00,25:07:00,25:13:00,26:32:00,26:39:00,29:02:00,29:06:00,32:31:11
17,16,8,Billy,Simpson,male,59,TN,US,00:00:00,03:08:00,03:10:00,05:12:00,05:15:00,07:57:00,08:07:00,10:24:00,10:26:00,11:09:00,11:10:00,12:31:00,12:44:00,15:43:00,15:57:00,17:49:00,18:04:00,22:11:00,22:13:00,23:08:00,23:20:00,26:40:00,26:45:00,28:04:00,28:07:00,30:13:00,30:18:00,33:03:54
18,17,10,David,Coblentz,male,52,NM,US,00:00:00,02:53:00,02:55:00,04:47:00,04:51:00,07:27:00,07:32:00,09:38:00,09:41:00,10:22:00,10:23:00,11:39:00,11:47:00,14:35:00,14:42:00,16:54:00,17:07:00,21:25:00,21:28:00,22:30:00,22:42:00,26:21:00,26:27:00,27:59:00,28:03:00,30:34:00,30:34:00,34:00:59
19,18,117,Kevin,Davis,male,44,MT,US,00:00:00,03:09:00,03:11:00,05:12:00,05:13:00,07:58:00,08:02:00,10:23:00,10:24:00,11:07:00,11:10:00,12:31:00,12:44:00,15:40:00,15:51:00,17:44:00,17:59:00,22:08:00,22:13:00,23:10:00,23:33:00,26:58:00,27:05:00,28:35:00,28:41:00,31:10:00,31:20:00,34:33:51
20,19,155,Eric,Lee,male,33,CO,US,00:00:00,02:44:00,02:45:00,04:30:00,04:33:00,07:14:00,07:22:00,09:34:00,09:37:00,10:12:00,10:15:00,11:25:00,11:29:00,15:07:00,15:59:00,17:43:00,18:04:00,22:11:00,22:12:00,23:21:00,23:37:00,26:43:00,26:49:00,28:30:00,28:42:00,31:11:00,31:21:00,34:38:01
21,20,143,Shinsuke,Isomura,male,35,,JP,00:00:00,03:14:00,03:14:00,05:12:00,05:13:00,07:57:00,08:01:00,10:19:00,10:20:00,11:03:00,11:05:00,12:27:00,12:36:00,15:44:00,15:54:00,17:49:00,17:51:00,22:24:00,22:30:00,23:28:00,23:41:00,26:57:00,27:05:00,28:34:00,28:39:00,31:09:00,31:09:00,34:54:09
22,21,9,Drew,Gunn,male,40,CO,US,00:00:00,03:17:00,03:18:00,05:25:00,05:27:00,08:23:00,08:28:00,10:42:00,10:48:00,11:18:00,11:19:00,12:36:00,12:41:00,15:39:00,15:46:00,17:41:00,17:53:00,23:02:00,23:55:00,24:54:00,25:06:00,28:40:00,28:42:00,30:20:00,30:23:00,32:04:00,32:06:00,34:55:21
23,22,183,Kevin,Twidwell,male,50,MT,US,00:00:00,03:06:00,03:07:00,05:12:00,05:15:00,08:28:00,08:33:00,10:59:00,11:05:00,11:52:00,11:54:00,13:19:00,13:39:00,16:33:00,16:51:00,18:43:00,19:06:00,23:22:00,23:36:00,24:25:00,24:40:00,27:48:00,27:57:00,29:25:00,29:34:00,31:47:00,31:51:00,34:55:45
24,23,130,James,Gifford,male,52,WA,US,00:00:00,03:14:00,03:14:00,05:20:00,05:21:00,08:16:00,08:19:00,10:28:00,10:30:00,11:19:00,11:20:00,12:47:00,12:55:00,15:46:00,15:51:00,17:59:00,18:09:00,22:20:00,22:27:00,23:32:00,23:45:00,27:25:00,27:35:00,29:18:00,29:27:00,32:21:00,32:22:00,35:52:50
25,24,133,Garett,Graubins,male,42,CO,US,00:00:00,03:22:00,03:23:00,05:31:00,05:40:00,08:20:00,08:32:00,11:00:00,11:03:00,11:52:00,11:56:00,13:31:00,13:56:00,17:01:00,17:09:00,19:15:00,19:52:00,24:21:00,24:33:00,25:33:00,25:59:00,29:04:00,29:10:00,30:26:00,30:32:00,32:49:00,33:02:00,35:55:05
26,25,104,Stuart,Air,male,26,,US,00:00:00,02:37:00,02:38:00,04:25:00,04:29:00,07:00:00,07:07:00,09:12:00,09:16:00,09:48:00,09:50:00,11:04:00,11:24:00,14:07:00,14:15:00,15:55:00,16:37:00,20:55:00,21:16:00,22:17:00,22:33:00,26:15:00,26:33:00,28:16:00,28:28:00,31:19:00,31:34:00,35:58:21
27,26,19,Howie,Stern,male,45,CA,US,00:00:00,03:09:00,03:10:00,05:17:00,05:20:00,08:14:00,08:22:00,10:28:00,10:29:00,11:12:00,11:14:00,12:37:00,12:44:00,15:44:00,15:55:00,18:11:00,18:28:00,22:56:00,23:09:00,24:15:00,24:39:00,28:20:00,28:24:00,30:09:00,30:32:00,32:49:00,32:52:00,36:07:30
28,27,160,Scott,Mills,male,63,CA,US,00:00:00,03:23:00,03:26:00,05:33:00,05:37:00,08:28:00,08:33:00,10:53:00,10:54:00,11:44:00,11:46:00,13:10:00,13:17:00,16:26:00,16:32:00,18:55:00,19:11:00,23:36:00,23:36:00,24:40:00,24:48:00,28:12:00,28:16:00,29:48:00,29:51:00,32:53:00,32:53:00,36:27:51
29,28,178,John,Sharp,male,37,TX,US,00:00:00,03:14:00,03:17:00,05:25:00,05:28:00,08:11:00,08:22:00,10:40:00,10:45:00,11:33:00,11:36:00,12:57:00,13:15:00,16:09:00,16:18:00,18:23:00,18:46:00,23:15:00,23:21:00,24:10:00,24:24:00,27:34:00,27:40:00,29:22:00,29:32:00,32:45:00,32:45:00,37:04:56
30,29,167,David,Pease,male,51,UT,US,00:00:00,03:14:00,03:18:00,05:23:00,05:28:00,08:28:00,08:37:00,10:56:00,10:59:00,11:46:00,11:47:00,13:12:00,13:28:00,16:49:00,16:56:00,19:15:00,19:38:00,24:25:00,24:36:00,25:32:00,25:51:00,29:14:00,29:20:00,31:08:00,31:22:00,33:50:00,33:59:00,37:25:55
31,30,180,Paul,Sweeney,male,48,CA,US,00:00:00,03:16:00,03:18:00,05:20:00,05:23:00,08:00:00,08:13:00,10:34:00,10:45:00,11:20:00,11:24:00,12:56:00,13:21:00,17:54:00,18:01:00,19:58:00,21:04:00,25:50:00,25:51:00,26:47:00,27:21:00,30:35:00,30:53:00,32:20:00,32:28:00,34:48:00,34:48:00,37:30:36
32,31,13,Daniel,Benhammou,male,34,CO,US,00:00:00,03:00:00,03:01:00,04:58:00,05:08:00,07:58:00,08:08:00,10:32:00,10:34:00,11:17:00,11:20:00,13:00:00,13:31:00,16:47:00,16:56:00,19:16:00,20:36:00,25:00:00,25:08:00,26:11:00,26:33:00,29:56:00,30:00:00,31:36:00,31:52:00,34:18:00,34:27:00,37:36:53
