Overall rank,Gender rank,Bib number,First name,Last name,Gender,Age,State code,Country code,Start Offset,Cunningham In,Cunningham Out,Maggie In,Maggie Out,Pole Creek In,Pole Creek Out,Sherman In,Sherman Out,Burrows In,Burrows Out,Grouse In,Grouse Out,Engineer In,Engineer Out,Ouray In,Ouray Out,Governor In,Governor Out,Kroger In,Kroger Out,Telluride In,Telluride Out,Chapman In,Chapman Out,Kamm Traverse In,Kamm Traverse Out,Putnam In,Putnam Out,Finish
1,1,1,Kilian,Jornet,male,28,,ES,00:00:00,01:53:00,01:53:00,03:27:00,03:27:00,04:14:00,04:14:00,05:53:00,05:54:00,06:34:00,06:35:00,09:07:00,09:12:00,10:35:00,10:39:00,11:54:00,12:00:00,13:29:00,13:33:00,14:31:00,14:39:00,15:27:00,15:37:00,18:34:00,18:43:00,20:42:00,20:46:00,22:21:00,22:21:00,23:28:00
2,2,128,Mike,Foote,male,32,MT,US,00:00:00,02:01:00,02:01:00,03:38:00,03:38:00,04:25:00,04:25:00,06:06:00,06:06:00,06:52:00,06:52:00,09:22:00,09:24:00,10:36:00,10:56:00,12:20:00,12:24:00,14:16:00,14:17:00,15:26:00,15:30:00,16:29:00,16:33:00,20:28:00,20:33:00,22:43:00,22:45:00,24:39:00,24:39:00,25:45:00
3,3,2,Adam,Campbell,male,36,,CA,00:00:00,01:53:00,01:53:00,03:27:00,03:27:00,04:14:00,04:14:00,05:53:00,05:54:00,06:34:00,06:34:00,09:19:00,09:20:00,11:07:00,11:09:00,12:37:00,12:40:00,14:49:00,14:51:00,16:00:00,16:01:00,17:05:00,17:06:00,20:32:00,20:34:00,23:19:00,23:22:00,25:31:00,25:32:00,26:49:00
4,4,173,Chris,Price,male,35,CA,US,00:00:00,01:58:00,01:58:00,03:39:00,03:40:00,04:30:00,04:31:00,06:12:00,06:18:00,07:03:00,07:04:00,09:42:00,09:43:00,11:21:00,11:23:00,12:42:00,12:47:00,14:47:00,14:51:00,16:01:00,16:03:00,16:59:00,17:01:00,20:51:00,21:20:00,23:49:00,23:52:00,25:53:00,25:53:00,26:52:00
5,5,143,Troy,Howard,male,42,CO,US,00:00:00,02:01:00,02:01:00,03:42:00,03:43:00,04:33:00,04:34:00,06:13:00,06:16:00,07:04:00,07:05:00,09:42:00,09:42:00,"","","","",14:50:00,14:51:00,15:58:00,15:59:00,16:53:00,16:57:00,20:49:00,20:55:00,23:34:00,23:39:00,25:50:00,25:51:00,27:03:00
6,6,181,Brandon,Stapanowich,male,31,CO,US,00:00:00,02:06:00,02:06:00,03:47:00,03:48:00,04:38:00,04:38:00,06:24:00,06:27:00,07:13:00,07:13:00,09:59:00,10:01:00,11:45:00,11:47:00,13:14:00,13:22:00,15:15:00,15:17:00,16:21:00,16:24:00,17:34:00,17:39:00,21:43:00,21:48:00,24:04:00,24:07:00,26:06:00,26:07:00,27:27:00
7,7,152,Benjamin,Lewis,male,37,UT,US,00:00:00,02:06:00,02:06:00,03:46:00,03:47:00,04:38:00,04:39:00,06:25:00,06:28:00,07:14:00,07:14:00,09:58:00,10:00:00,11:45:00,11:47:00,13:18:00,13:28:00,15:27:00,15:30:00,16:45:00,16:49:00,18:00:00,18:05:00,21:43:00,21:49:00,24:31:00,24:35:00,26:40:00,26:41:00,27:55:00
8,1,130,Anna,Frost,female,34,,NZ,00:00:00,02:00:00,02:00:00,03:44:00,03:45:00,04:36:00,04:37:00,06:24:00,06:27:00,07:13:00,07:13:00,09:58:00,09:58:00,11:45:00,11:46:00,13:12:00,13:16:00,15:23:00,15:26:00,16:50:00,16:55:00,18:11:00,18:15:00,22:24:00,22:35:00,25:10:00,25:11:00,27:12:00,27:13:00,28:22:00
9,8,146,Iker,Karrera,male,41,,ES,00:00:00,01:53:00,01:53:00,03:38:00,03:39:00,04:25:00,04:25:00,06:06:00,06:08:00,06:51:00,06:52:00,09:30:00,09:36:00,11:15:00,11:15:00,12:46:00,12:46:00,14:42:00,14:43:00,16:02:00,16:08:00,17:18:00,17:24:00,21:15:00,21:24:00,24:17:00,24:27:00,27:02:00,27:06:00,28:54:00
10,2,5,Darcy,Piceu,female,40,CO,US,00:00:00,02:04:00,02:04:00,03:48:00,03:48:00,04:43:00,04:43:00,06:36:00,06:38:00,07:29:00,07:29:00,10:20:00,10:21:00,12:04:00,12:04:00,13:38:00,13:40:00,15:44:00,15:48:00,17:07:00,17:09:00,18:18:00,18:20:00,22:05:00,22:15:00,25:14:00,25:15:00,27:41:00,27:41:00,28:57:00
11,9,184,Brendan,Trimboli,male,27,CO,US,00:00:00,02:03:00,02:03:00,03:41:00,03:41:00,04:33:00,04:34:00,06:14:00,06:17:00,07:01:00,07:03:00,09:42:00,09:42:00,11:23:00,11:26:00,13:03:00,13:12:00,15:23:00,15:38:00,17:00:00,17:06:00,18:27:00,18:44:00,22:52:00,23:01:00,25:50:00,25:58:00,28:10:00,28:10:00,29:25:00
12,10,4,Jared,Campbell,male,35,UT,US,00:00:00,02:05:00,02:05:00,03:46:00,03:46:00,04:40:00,04:40:00,06:34:00,06:39:00,07:30:00,07:30:00,10:22:00,10:26:00,12:18:00,12:20:00,13:55:00,14:02:00,16:17:00,16:24:00,17:56:00,17:59:00,19:08:00,19:17:00,23:44:00,23:49:00,26:27:00,26:30:00,28:43:00,28:43:00,29:56:00
13,11,117,Nick,Coury,male,28,AZ,US,00:00:00,02:17:00,02:17:00,04:02:00,04:03:00,05:03:00,05:04:00,06:57:00,06:59:00,07:51:00,07:54:00,10:39:00,10:39:00,12:31:00,12:31:00,"","",16:51:00,16:55:00,18:17:00,18:21:00,19:20:00,19:28:00,23:53:00,24:00:00,26:39:00,26:41:00,29:04:00,29:04:00,30:25:00
14,12,140,Adam,Hewey,male,48,WA,US,00:00:00,02:22:00,02:22:00,04:23:00,04:25:00,05:26:00,05:28:00,07:34:00,07:40:00,08:36:00,08:36:00,11:55:00,12:00:00,14:00:00,14:05:00,15:51:00,16:00:00,18:18:00,18:22:00,19:43:00,19:46:00,20:59:00,21:09:00,24:46:00,24:57:00,27:34:00,27:38:00,29:40:00,29:40:00,30:57:00
15,13,137,Matt,Hart,male,40,CO,US,00:00:00,02:13:00,02:13:00,04:13:00,04:14:00,05:17:00,05:19:00,07:26:00,07:33:00,08:26:00,08:27:00,11:38:00,11:50:00,13:37:00,13:37:00,15:14:00,15:31:00,17:44:00,17:47:00,19:12:00,19:15:00,20:34:00,20:58:00,25:05:00,25:24:00,28:02:00,28:03:00,30:05:00,30:06:00,31:17:00
16,14,172,Bryon,Powell,male,37,UT,US,00:00:00,02:16:00,02:16:00,04:10:00,04:10:00,05:08:00,05:08:00,07:02:00,07:04:00,07:59:00,07:59:00,10:59:00,10:59:00,12:50:00,12:51:00,14:17:00,14:33:00,16:46:00,16:49:00,18:29:00,18:35:00,19:52:00,20:01:00,24:10:00,24:20:00,27:21:00,27:22:00,30:04:00,30:07:00,31:30:00
17,15,188,Adam,Wilcox,male,34,NH,US,00:00:00,02:18:00,02:18:00,04:10:00,04:10:00,05:03:00,05:04:00,06:59:00,07:02:00,07:51:00,07:52:00,10:59:00,11:03:00,12:53:00,12:55:00,14:32:00,14:40:00,16:57:00,17:00:00,18:25:00,18:27:00,19:47:00,19:53:00,24:24:00,24:30:00,27:39:00,27:39:00,30:10:00,30:10:00,31:34:00
18,16,11,Kevin,Davis,male,45,MT,US,00:00:00,02:30:00,02:30:00,04:36:00,04:38:00,05:40:00,05:42:00,07:52:00,07:58:00,09:00:00,09:01:00,11:53:00,11:56:00,13:51:00,13:53:00,15:42:00,15:51:00,18:18:00,18:22:00,19:42:00,19:46:00,20:59:00,21:04:00,24:43:00,24:57:00,27:42:00,27:46:00,30:11:00,30:11:00,31:39:00
19,17,8,Jeason,Murphy,male,36,CO,US,00:00:00,02:18:00,02:18:00,04:14:00,04:15:00,05:13:00,05:15:00,07:09:00,07:18:00,08:02:00,08:07:00,11:17:00,11:34:00,13:19:00,13:23:00,"",15:16:00,17:32:00,17:43:00,19:15:00,19:22:00,20:40:00,20:54:00,25:04:00,25:27:00,27:55:00,28:03:00,30:26:00,30:27:00,31:43:00
20,3,104,Darla,Askew,female,43,OR,US,00:00:00,02:19:00,02:19:00,04:20:00,04:22:00,05:22:00,05:23:00,07:32:00,07:38:00,08:33:00,08:33:00,11:39:00,11:42:00,13:30:00,13:32:00,"","",17:37:00,17:42:00,19:02:00,19:05:00,20:25:00,20:30:00,24:43:00,25:03:00,28:02:00,28:05:00,30:37:00,30:37:00,32:05:00
21,18,161,Karl,Meltzer,male,48,UT,US,00:00:00,02:05:00,02:05:00,03:46:00,03:46:00,04:36:00,04:37:00,06:21:00,06:23:00,07:10:00,07:11:00,10:01:00,10:02:00,11:42:00,11:43:00,13:10:00,13:12:00,15:19:00,15:24:00,16:44:00,16:49:00,18:03:00,18:06:00,22:16:00,22:50:00,26:24:00,28:53:00,31:17:00,31:17:00,32:45:00
22,19,102,John,Anderson,male,37,CA,US,00:00:00,02:01:00,02:01:00,03:47:00,03:47:00,04:40:00,04:41:00,06:34:00,06:38:00,07:27:00,07:28:00,10:35:00,10:42:00,12:36:00,12:37:00,14:22:00,14:34:00,16:53:00,16:58:00,18:46:00,18:56:00,20:43:00,21:52:00,25:05:00,26:12:00,29:09:00,29:17:00,31:40:00,31:46:00,33:18:00
23,4,133,Missy,Gosney,female,49,CO,US,00:00:00,02:24:00,02:24:00,04:22:00,04:24:00,05:25:00,05:26:00,07:36:00,07:42:00,08:36:00,08:36:00,11:52:00,11:52:00,14:04:00,14:06:00,16:14:00,16:27:00,18:54:00,19:03:00,20:32:00,20:36:00,22:05:00,22:14:00,26:10:00,26:22:00,29:09:00,29:14:00,31:38:00,31:43:00,33:22:00
24,20,148,Ryan,Kircher,male,36,CO,US,00:00:00,02:21:00,02:21:00,04:33:00,04:34:00,05:41:00,05:42:00,07:56:00,08:01:00,09:03:00,09:03:00,12:13:00,12:17:00,14:15:00,14:15:00,"","",18:35:00,18:37:00,19:56:00,20:01:00,21:18:00,21:26:00,25:56:00,26:07:00,29:09:00,29:17:00,31:58:00,31:58:00,33:32:00
25,21,185,James,Varner,male,38,WA,US,00:00:00,02:22:00,02:22:00,04:21:00,04:22:00,05:22:00,05:23:00,07:35:00,07:40:00,08:43:00,08:50:00,12:20:00,12:33:00,14:52:00,15:05:00,17:23:00,17:40:00,20:24:00,20:47:00,22:29:00,22:33:00,24:02:00,24:19:00,27:58:00,27:58:00,30:53:00,30:59:00,33:46:00,33:46:00,35:18:00
26,22,121,Kevin,Douglas,male,27,WA,US,00:00:00,02:24:00,02:24:00,04:33:00,04:34:00,05:39:00,05:42:00,07:56:00,08:02:00,09:03:00,09:04:00,12:58:00,13:12:00,15:30:00,15:33:00,17:59:00,18:09:00,20:35:00,20:44:00,22:08:00,22:12:00,23:33:00,23:45:00,27:47:00,28:13:00,30:53:00,30:59:00,33:46:00,33:46:00,35:18:00
27,23,169,Mark,Oveson,male,48,CO,US,00:00:00,02:26:00,02:26:00,04:31:00,04:33:00,05:34:00,05:40:00,07:49:00,08:03:00,09:00:00,09:00:00,12:52:00,13:06:00,15:28:00,15:33:00,17:51:00,18:10:00,20:49:00,20:57:00,22:28:00,22:33:00,23:49:00,24:07:00,28:24:00,28:35:00,31:33:00,31:40:00,34:00:00,34:04:00,35:24:00
28,24,6,Kelly,Lance,male,48,ID,US,00:00:00,02:32:00,02:32:00,04:40:00,04:40:00,05:41:00,05:42:00,07:50:00,07:57:00,09:00:00,09:00:00,13:00:00,13:00:00,15:18:00,15:24:00,17:25:00,17:40:00,20:29:00,20:38:00,22:14:00,22:21:00,23:30:00,23:36:00,27:48:00,27:59:00,31:34:00,31:34:00,34:12:00,34:12:00,35:39:00
29,25,147,Maxim,Kazitov,male,40,WA,US,00:00:00,02:19:00,02:19:00,04:26:00,04:27:00,05:30:00,05:32:00,07:43:00,07:52:00,08:42:00,08:43:00,12:31:00,12:43:00,14:45:00,14:49:00,16:55:00,17:07:00,20:12:00,20:36:00,22:09:00,22:12:00,23:37:00,23:58:00,28:33:00,28:47:00,31:49:00,31:54:00,34:23:00,34:23:00,35:43:00
30,26,10,David,Coblentz,male,53,NM,US,00:00:00,02:35:00,02:35:00,04:41:00,04:42:00,05:43:00,05:44:00,07:52:00,08:01:00,09:00:00,09:01:00,12:33:00,12:41:00,14:54:00,15:00:00,17:30:00,17:42:00,20:34:00,20:41:00,22:11:00,22:18:00,23:52:00,24:05:00,28:34:00,28:40:00,31:46:00,31:48:00,34:20:00,34:22:00,35:45:00
31,27,118,Anthony,Culpepper,male,35,CO,US,00:00:00,02:24:00,02:24:00,04:23:00,04:24:00,05:24:00,05:28:00,07:41:00,07:53:00,08:56:00,08:57:00,12:38:00,12:56:00,14:56:00,14:59:00,17:04:00,17:27:00,19:48:00,20:04:00,21:51:00,21:57:00,23:22:00,24:01:00,28:13:00,28:33:00,31:37:00,31:56:00,34:25:00,34:25:00,35:57:00
