STATION,Miles,Segment,Climb,Descent,Latitude,Longitude,Elevation
Cunningham,9.3,9.3,3840,-2770,37.7935166667,107.578,1368.2623291
Maggie,15.4,6.1,3160,-1700,37.81885,107.53645,1447.86474609
Pole Creek,19.7,4.3,960,-1340,37.803,107.473333333,1356.19433594
Sherman,28.8,9.1,1390,-3210,37.9008166667,107.4331,1305.62390137
Burrows,32.6,3.8,950,0,37.90095,107.433,1306.06079102
Grouse,42.2,9.6,4308,-4188,37.91755,107.558316667,1343.91125488
Engineer,48.7,6.5,2310,-1220,37.9859333333,107.604616667,1369.24157715
Ouray,56.6,7.9,455,-4575,38.0172,107.676783333,1366.24145508
Governor,64.5,7.9,3148,-48,37.9821333333,107.76125,1371.81030273
Krogers,67.8,3.3,2320,0,37.9618,107.771766667,1374.75671387
Telluride,72.8,5,40,-4390,37.9349833333,107.806316667,1375.54614258
Chapman,82.1,9.3,4500,-3090,37.8552833333,107.805516667,1366.16796875
KT,89.1,7,2920,-2450,37.7921833333,107.792583333,1332.14868164
Putnam,94.7,5.6,2425,-1455,37.7808166667,107.7324,1326.86376953
Silverton,100.5,5.8,324,-2614,37.81105,107.656416667,1375.69934082
