Lat,Lon
37.855231667,-107.804645
37.855163333,-107.804708333
37.85511,-107.804746667
37.855066667,-107.804788333
37.855021667,-107.804838333
37.854986667,-107.804843333
37.854953333,-107.804801667
37.854915,-107.804768333
37.854875,-107.804738333
37.854836667,-107.804713333
37.854816667,-107.80466
37.854746667,-107.804655
37.854723333,-107.804586667
37.854648333,-107.804571667
37.85457,-107.804566667
37.854506667,-107.804601667
37.854451667,-107.804571667
37.854368333,-107.804561667
37.854321667,-107.804611667
37.854271667,-107.80463
37.85421,-107.804613333
37.854173333,-107.80457
37.854108333,-107.804586667
37.854043333,-107.804583333
37.85397,-107.804596667
37.853928333,-107.804613333
37.853886667,-107.804615
37.853825,-107.804628333
37.853783333,-107.804665
37.853733333,-107.804656667
37.853705,-107.804688333
37.853701667,-107.804771667
37.853705,-107.80487
37.853701667,-107.804948333
37.85371,-107.805008333
37.853693333,-107.805066667
37.853671667,-107.805151667
37.853665,-107.805165
37.853635,-107.805228333
37.853613333,-107.805298333
37.853598333,-107.80535
37.853548333,-107.805343333
37.853546667,-107.805295
37.853541667,-107.8052
37.853511667,-107.805118333
37.853485,-107.805061667
37.853466667,-107.805006667
37.853433333,-107.80491
37.853405,-107.804811667
37.853348333,-107.80475
37.853306667,-107.804733333
37.853261667,-107.804698333
37.853236667,-107.80462
37.85315,-107.80463
37.853105,-107.804625
37.853063333,-107.804611667
37.853031667,-107.804581667
37.852993333,-107.804573333
37.852943333,-107.804573333
37.852905,-107.804581667
37.852881667,-107.80458
37.852833333,-107.804593333
37.8528,-107.804565
37.852758333,-107.804481667
37.85266,-107.804476667
37.852588333,-107.804473333
37.85252,-107.804438333
37.852471667,-107.804393333
37.852418333,-107.804338333
37.852356667,-107.804303333
37.852305,-107.804323333
37.852283333,-107.804238333
37.85224,-107.804176667
37.8522,-107.804091667
37.852168333,-107.804026667
37.852125,-107.803988333
37.852086667,-107.8039
37.852015,-107.803846667
37.851941667,-107.803813333
37.851898333,-107.803753333
37.851813333,-107.803801667
37.851768333,-107.803791667
37.85171,-107.803705
37.851683333,-107.80369
37.851653333,-107.803708333
37.851648333,-107.803665
37.851646667,-107.803598333
37.851601667,-107.803625
